,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Santa Maria Del Oro,MX,25.9333,-105.3667,93.38,11,57,9.17,broken clouds
80,Minab,IR,27.1467,57.0801,85.5,35,0,2.8,clear sky
81,Gamboma,CG,-1.8764,15.8644,77.52,67,75,1.61,broken clouds
82,Namtsy,RU,62.7161,129.6658,59.11,62,86,2.59,overcast clouds
83,Thompson,CA,55.7435,-97.8558,53.76,76,90,16.11,overcast clouds
84,Tynset,NO,62.2759,10.7824,40.62,58,2,5.7,clear sky
85,Tavistock,GB,50.5494,-4.1442,58.12,80,83,4.34,broken clouds
86,Khandyga,RU,62.6667,135.6,56.37,77,100,12.15,light rain
87,Claveria,PH,18.6074,121.0832,82.94,77,99,1.45,overcast clouds
88,Umm Lajj,SA,25.0213,37.2685,82.9,68,100,11.95,overcast clouds
89,Terekli-Mekteb,RU,44.1671,45.8698,73.6,66,94,9.8,overcast clouds
90,Chunskiy,RU,56.0815,99.6342,35.04,72,88,6.93,overcast clouds
91,Spring Hill,US,28.4769,-82.5255,89.11,60,1,1.99,clear sky
92,Itaituba,BR,-4.2761,-55.9836,76.86,86,80,1.59,broken clouds
93,Port Said,EG,31.2565,32.2841,73.38,83,0,8.05,clear sky
94,Kruisfontein,ZA,-34.0033,24.7314,52.88,91,43,9.15,light rain
95,Puerto Leguizamo,CO,-0.1934,-74.7819,75.69,92,22,2.48,few clouds
96,Qaanaaq,GL,77.484,-69.3632,29.59,94,60,6.4,broken clouds
97,Bulawayo,ZW,-20.15,28.5833,54.77,31,0,2.64,clear sky
98,Jiangyou,CN,31.7667,104.7167,69.8,79,100,0.27,overcast clouds
99,Cienaga,CO,11.007,-74.2476,82.54,79,100,5.5,overcast clouds
100,Komsomolskiy,UZ,40.4272,71.7189,75.92,31,60,2.3,broken clouds
101,Aklavik,CA,68.2191,-135.0107,34.52,64,90,6.91,overcast clouds
102,Benito Juarez,MX,19.385,-99.165,82.22,20,75,13.0,broken clouds
103,Mareeba,AU,-17.0,145.4333,67.44,82,45,4.41,scattered clouds
104,Faya,SA,18.3851,42.4509,66.72,39,99,1.05,overcast clouds
105,Saint-Augustin,CA,51.226,-58.6502,53.49,47,83,11.39,broken clouds
106,Dogondoutchi,NE,13.6393,4.0287,92.39,12,100,3.02,overcast clouds
107,Whitefish,US,48.4111,-114.3376,67.89,40,1,5.84,clear sky
108,Tiznit,MA,29.5833,-9.5,81.3,30,100,2.04,overcast clouds
109,Gayeri,BF,12.6497,0.4931,94.32,15,49,7.11,scattered clouds
110,Renfrew,GB,55.872,-4.3925,57.52,86,15,3.44,few clouds
111,Vaini,TO,-21.2,-175.2,77.16,88,75,2.3,light rain
112,Kousseri,CM,12.0769,15.0306,89.56,20,0,4.61,clear sky
113,Champa,IN,22.05,82.65,86.7,43,93,4.27,overcast clouds
114,Lundazi,ZM,-12.2929,33.1782,54.72,67,0,5.28,clear sky
115,Dickinson,US,29.4608,-95.0513,91.2,59,20,5.99,few clouds
116,Meadow Lake,US,34.8014,-106.5436,90.37,8,78,15.66,broken clouds
117,Carnarvon,AU,-24.8667,113.6333,57.27,94,3,5.75,clear sky
118,Santa Helena De Goias,BR,-17.8136,-50.5969,77.58,47,49,6.11,scattered clouds
119,Chapais,CA,49.7834,-74.8492,56.98,30,1,5.61,clear sky
120,Ciudad Bolivar,VE,8.1222,-63.5497,83.21,64,76,11.34,broken clouds
121,Ayorou,NE,14.7308,0.9174,91.44,12,3,6.24,clear sky
122,Mapiripan,CO,2.8892,-72.1256,75.94,93,100,4.18,overcast clouds
123,Tilichiki,RU,60.4667,166.1,43.09,72,100,5.41,overcast clouds
124,Nabire,ID,-3.3667,135.4833,78.96,89,100,3.0,overcast clouds
125,Saint-Martin-De-Crau,FR,43.6395,4.8127,73.18,40,0,19.13,clear sky
126,Kvarkeno,RU,52.0833,59.725,65.07,64,78,9.1,broken clouds
127,Erding,DE,48.306,11.9069,49.91,84,0,4.29,clear sky
128,Erzin,TR,36.9559,36.2,69.01,90,28,0.45,scattered clouds
129,Iqaluit,CA,63.7506,-68.5145,29.93,74,75,14.97,broken clouds
130,Biggar,GB,55.6167,-3.5167,55.29,95,33,1.03,scattered clouds
131,Kingsville,US,27.5159,-97.8561,84.45,73,20,5.01,few clouds
132,Lakes Entrance,AU,-37.8811,147.981,47.08,65,19,2.68,few clouds
133,Nelidovo,RU,56.2211,32.7774,44.76,72,49,8.57,scattered clouds
134,Fort Dodge,US,42.4975,-94.168,63.43,39,1,8.05,clear sky
135,Rikitea,PF,-23.1203,-134.9692,76.86,86,96,20.89,light rain
136,Samfya,ZM,-11.3649,29.5565,55.69,56,3,5.91,clear sky
137,Lashio,MM,22.9333,97.75,70.88,81,79,0.96,broken clouds
138,Sao Fidelis,BR,-21.6461,-41.7469,76.32,78,19,2.04,few clouds
139,Partizanske,SK,48.6286,18.3846,50.97,88,44,4.74,scattered clouds
140,Hay River,CA,60.8156,-115.7999,57.18,44,75,4.61,broken clouds
141,Dingzhou,CN,38.5131,114.9956,60.91,41,100,6.2,overcast clouds
142,Kudirkos Naumiestis,LT,54.7731,22.8631,43.39,93,33,6.93,scattered clouds
143,Baruun-Urt,MN,46.6806,113.2792,48.85,65,40,11.12,scattered clouds
144,Arlit,NE,18.7369,7.3853,93.36,7,20,9.24,few clouds
145,Dasoguz,TM,41.8363,59.9666,76.95,50,0,12.15,clear sky
146,Anjiang,CN,27.3194,110.1031,66.45,96,87,0.81,overcast clouds
147,Zhigansk,RU,66.7697,123.3711,54.23,39,1,9.28,clear sky
148,General Roca,AR,-39.0333,-67.5833,50.4,48,57,12.28,broken clouds
149,Amlagora,IN,22.8333,87.3333,81.7,89,21,8.9,few clouds
150,Matay,EG,28.419,30.7792,77.59,35,60,8.43,broken clouds
151,Tsaratanana,MG,-16.7833,47.65,69.57,77,26,4.79,scattered clouds
152,Gainesville,US,29.6516,-82.3248,87.82,54,20,1.99,few clouds
153,Coari,BR,-4.085,-63.1414,76.42,92,98,0.81,light rain
154,Jambi,ID,-1.6,103.6167,73.02,98,100,3.0,overcast clouds
155,Shiyan,CN,32.6475,110.7781,71.44,78,63,3.27,broken clouds
156,Poykovskiy,RU,61.2333,73.3333,55.69,76,20,12.19,few clouds
157,Muscatine,US,41.4667,-91.1335,65.66,32,1,1.01,clear sky
158,Mirador,BR,-6.3708,-44.3631,76.32,59,10,1.03,clear sky
159,Egvekinot,RU,66.3167,-179.1667,40.69,46,65,3.96,broken clouds
160,Benton Harbor,US,42.1167,-86.4542,65.55,48,1,6.91,clear sky
161,Kutum,SD,14.2,24.6667,80.28,12,26,15.26,scattered clouds
162,Dawlatabad,AF,36.4141,64.9053,81.93,20,0,2.57,clear sky
163,Yumen,CN,40.2833,97.2,67.21,31,5,7.09,clear sky
164,Shubarkuduk,KZ,49.1447,56.4872,68.25,56,0,8.25,clear sky
165,Kalabo,ZM,-14.97,22.6814,54.91,34,0,2.73,clear sky
166,Llandrindod Wells,GB,52.2416,-3.3787,54.95,92,30,2.8,scattered clouds
167,Coihaique,CL,-45.5752,-72.0662,41.61,75,75,4.61,broken clouds
168,Chatham,GB,51.3789,0.5279,54.18,86,0,1.01,clear sky
169,El Real De Santa Maria,PA,8.109,-77.7325,75.02,98,99,1.48,overcast clouds
170,Atherton,GB,53.5237,-2.4935,59.59,86,9,4.16,clear sky
171,Troy,US,42.6056,-83.1499,63.55,42,1,1.99,clear sky
172,Napa,US,38.4832,-122.3344,87.78,39,2,9.26,clear sky
173,Mwinilunga,ZM,-11.7358,24.4293,52.11,49,26,2.98,scattered clouds
174,Indian Head,US,38.6001,-77.1622,53.89,86,75,5.01,broken clouds
175,Turan,VN,16.0678,108.2208,82.45,78,20,1.14,few clouds
176,Kiunga,PG,-6.1219,141.2906,73.8,94,100,2.3,overcast clouds
177,Bismarck,US,46.8083,-100.7837,71.87,64,90,3.0,overcast clouds
178,Esperance,AU,-33.8667,121.9,60.64,86,89,12.8,light rain
179,Chokurdakh,RU,70.6333,147.9167,58.1,34,6,13.94,clear sky
180,Bredasdorp,ZA,-34.5322,20.0403,54.72,88,49,2.82,scattered clouds
181,Lafiagi,NG,8.8667,5.4167,79.88,73,76,6.38,broken clouds
182,Springfield,US,37.2153,-93.2982,60.66,71,75,5.01,broken clouds
183,Humaita,BR,-7.5061,-63.0208,81.09,67,98,1.48,overcast clouds
184,Provideniya,RU,64.3833,-173.3,46.45,44,3,8.21,clear sky
185,Madinat Sittah Uktubar,EG,29.8167,31.05,75.56,48,0,9.19,clear sky
186,Taoudenni,ML,22.6783,-3.9836,100.06,7,41,9.04,scattered clouds
187,Nizhniy Odes,RU,63.6445,54.856,38.28,96,100,5.61,overcast clouds
188,Blagoyevo,RU,63.3667,47.9167,34.29,76,27,9.78,scattered clouds
189,Nenjiang,CN,49.1833,125.2167,55.36,71,45,5.86,scattered clouds
190,Aluksne,LV,57.4167,27.05,38.08,77,2,5.55,clear sky
191,Yabrud,SY,33.9674,36.6574,55.06,55,0,3.29,clear sky
192,Alpena,US,45.0617,-83.4327,62.92,29,1,1.99,clear sky
