,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Trinidad,BO,-14.8333,-64.9,85.98,70,40,3.44,scattered clouds
348,Mercedes,AR,-34.6515,-59.4307,49.01,66,18,4.92,few clouds
349,Pemberton,CA,50.3164,-122.8027,78.49,37,21,4.34,few clouds
350,Bossangoa,CF,6.4926,17.4552,73.09,83,100,5.26,overcast clouds
351,Leningradskiy,RU,69.3833,178.4167,35.98,95,57,6.44,broken clouds
352,Shellbrook,CA,53.2168,-106.4011,67.23,34,14,15.99,few clouds
353,Nedjo,ET,9.5046,35.5019,59.97,71,9,1.63,clear sky
354,Nyagan,RU,62.1406,65.3936,56.55,96,100,6.64,light rain
355,Villa Carlos Paz,AR,-31.4241,-64.4978,54.39,41,1,1.99,clear sky
356,Smidovich,RU,48.6,133.8167,55.67,70,100,14.27,overcast clouds
357,Mus,TR,39.0,41.75,50.74,62,0,1.52,clear sky
358,Hami,CN,42.8,93.45,78.75,17,93,12.33,overcast clouds
359,Solnechnyy,RU,50.7214,136.6319,48.58,78,100,1.63,overcast clouds
360,Bilma,NE,18.6853,12.9164,90.28,8,40,6.2,scattered clouds
361,Berlin,DE,52.5244,13.4105,54.9,56,0,1.99,clear sky
362,Panorama,GR,40.5878,23.0315,65.68,55,38,1.01,scattered clouds
363,Habiganj,BD,24.3833,91.4167,77.49,89,11,5.01,few clouds
364,Verkhoyansk,RU,67.5447,133.385,52.29,46,80,11.27,broken clouds
365,Ixtlan Del Rio,MX,21.0333,-104.3667,95.67,15,100,9.48,overcast clouds
366,Chiriguana,CO,9.3624,-73.6031,77.09,93,100,3.0,overcast clouds
367,Deniliquin,AU,-35.5333,144.9667,39.99,57,0,4.85,clear sky
368,Ouargaye,BF,11.5033,0.0572,94.98,29,38,5.12,scattered clouds
369,Laurentides,CA,46.4334,-74.9826,60.51,44,0,3.98,clear sky
370,Mama,RU,58.3106,112.8986,41.47,99,100,3.24,light rain
371,Dutlwe,BW,-23.9833,23.9,53.64,32,1,8.86,clear sky
372,Tres Passos,BR,-27.4556,-53.9319,56.1,90,47,4.5,scattered clouds
373,Aranos,NA,-24.1333,19.1167,56.14,39,4,9.78,clear sky
374,Inta,RU,66.0317,60.1659,39.25,65,100,5.01,overcast clouds
375,Keetmanshoop,NA,-26.5833,18.1333,56.32,41,56,3.44,broken clouds
376,Khonsa,IN,27.0167,95.5667,65.84,98,47,2.91,scattered clouds
377,Tarko-Sale,RU,64.9225,77.785,48.04,62,98,24.81,light rain
378,Nove Straseci,CZ,50.1527,13.9004,48.63,93,55,5.35,broken clouds
379,Ilmajoki,FI,62.7333,22.5667,40.33,67,0,1.54,clear sky
380,Ust-Nera,RU,64.5667,143.2,42.06,95,100,4.09,overcast clouds
381,Rehoboth,NA,-23.3167,17.0833,56.98,33,21,0.83,few clouds
382,Pozo Colorado,PY,-23.4923,-58.7972,70.93,72,100,12.64,overcast clouds
383,Tuxpan,MX,19.55,-103.4,87.78,23,38,10.38,scattered clouds
384,Porto De Moz,BR,-1.7483,-52.2383,79.38,78,99,2.55,overcast clouds
385,Pallapatti,IN,11.6593,78.1342,77.29,80,75,2.21,broken clouds
386,Deltona,US,28.9005,-81.2637,90.12,75,75,2.15,moderate rain
387,Sharan,RU,54.8167,54.0,60.06,83,71,5.39,light rain
388,Bandipur,NP,27.9333,84.4167,67.41,81,88,1.74,overcast clouds
389,Matagami,CA,49.7502,-77.6328,59.11,21,1,3.02,clear sky
390,Chunoyar,RU,57.4467,97.3217,35.28,76,100,7.67,overcast clouds
391,Tahta,EG,26.7693,31.5021,86.32,25,33,7.02,scattered clouds
392,Catacocha,EC,-4.0667,-79.6333,57.92,95,64,3.89,light rain
393,Kendari,ID,-3.945,122.4989,75.67,92,41,2.95,scattered clouds
394,Marawi,PH,7.9986,124.2928,69.66,92,100,0.6,overcast clouds
395,Kirksville,US,40.1948,-92.5833,64.35,46,1,1.01,clear sky
396,Serenje,ZM,-13.2325,30.2352,51.31,49,0,3.13,clear sky
397,Padang,ID,-0.9492,100.3543,76.93,77,100,4.18,overcast clouds
398,Barrow,US,71.2906,-156.7887,28.42,86,90,11.5,overcast clouds
399,Narsaq,GL,60.9167,-46.05,43.02,86,100,4.59,overcast clouds
400,Northam,GB,51.0333,-4.2167,58.6,77,28,5.86,scattered clouds
401,Suhbaatar,MN,50.2314,106.2078,43.05,84,100,10.63,light rain
402,Seymchan,RU,62.8833,152.4333,50.18,48,12,10.63,few clouds
403,Chato,TZ,-2.6378,31.7669,72.05,67,99,3.76,overcast clouds
404,Shihezi,CN,44.3,86.0333,71.28,37,100,9.13,overcast clouds
405,Oda,JP,35.1833,132.5,59.77,57,4,2.89,clear sky
406,Arti,RU,56.4234,58.5328,58.14,60,69,3.33,broken clouds
407,Campo Largo,BR,-25.4586,-49.5283,71.22,91,3,2.08,clear sky
408,Hailar,CN,49.2,119.7,57.7,47,100,0.58,overcast clouds
409,Orsha,BY,54.5153,30.4053,52.02,90,86,10.18,overcast clouds
410,Brandon,US,27.9378,-82.2859,89.62,61,1,3.0,clear sky
411,Hobyo,SO,5.3505,48.5268,78.42,83,85,20.49,overcast clouds
412,Wawa,NG,9.9022,4.4192,85.05,54,20,6.82,few clouds
413,Bryan,US,30.6744,-96.37,87.98,53,75,3.44,broken clouds
414,Birigui,BR,-21.2886,-50.34,76.39,38,90,5.7,overcast clouds
415,Ichhawar,IN,23.0167,77.0167,88.45,41,90,11.54,overcast clouds
416,Hermiston,US,45.8404,-119.2895,81.25,22,1,10.36,clear sky
417,Gari,RU,59.4307,62.3497,58.06,91,100,5.55,light rain
418,Melfi,IT,40.9965,15.6514,63.3,53,100,2.08,overcast clouds
419,Qasigiannguit,GL,68.8193,-51.1922,55.65,42,49,13.4,scattered clouds
420,Karmaskaly,RU,54.3709,56.1837,64.31,52,43,4.7,scattered clouds
421,Soubre,CI,5.7856,-6.6083,75.61,93,72,2.77,broken clouds
422,Calbuco,CL,-41.768,-73.1273,47.41,83,100,6.35,overcast clouds
423,Bafq,IR,31.6128,55.4107,81.57,10,0,1.01,clear sky
424,Bakel,SN,14.905,-12.4568,95.22,18,0,4.5,clear sky
425,Hovd,MN,48.0056,91.6419,45.37,55,51,7.07,broken clouds
426,Senanga,ZM,-16.1167,23.2667,54.66,34,0,4.03,clear sky
427,Thurso,GB,58.5927,-3.5259,44.55,88,98,2.55,overcast clouds
428,Altamont,US,42.2068,-121.7372,80.4,15,1,8.99,clear sky
429,Seoul,KR,37.5683,126.9778,56.59,91,0,3.22,clear sky
430,Qujing,CN,25.4833,103.7833,61.16,81,82,7.07,broken clouds
431,Ocean City,US,39.2776,-74.5746,52.05,85,100,15.99,moderate rain
432,Kurumkan,RU,54.3,110.3,43.75,64,16,4.09,few clouds
433,Skaerbaek,DK,55.1573,8.769,49.05,92,13,4.68,few clouds
434,Amvrosiyivka,UA,47.7935,38.4777,61.02,95,100,6.76,overcast clouds
435,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.43,97,96,2.91,overcast clouds
436,Matiguas,NI,12.8373,-85.4622,92.14,35,9,9.1,clear sky
437,Zalantun,CN,48.0,122.7167,55.9,70,100,2.8,overcast clouds
438,Saurimo,AO,-9.6608,20.3916,60.64,40,100,5.23,overcast clouds
439,Licheng,CN,23.2955,113.8284,78.73,87,100,2.91,overcast clouds
440,Gazojak,TM,41.1875,61.4036,86.7,18,0,10.29,clear sky
441,Uspenka,UA,48.3903,39.1619,62.65,95,98,8.86,moderate rain
442,Khalkhal,IR,37.6189,48.5258,59.97,27,0,5.88,clear sky
443,Flinders,AU,-34.5833,150.8552,55.18,68,95,8.99,overcast clouds
444,La Ronge,CA,55.1001,-105.2842,43.05,81,90,12.66,overcast clouds
445,Podgornoye,RU,51.735,39.1496,59.22,94,96,3.51,overcast clouds
446,Laureles,US,26.1092,-97.4941,84.24,79,1,3.0,clear sky
447,Ojinaga,MX,29.5667,-104.4167,100.58,24,1,8.05,clear sky
448,Payakumbuh,ID,-0.2202,100.6308,69.49,82,99,3.02,overcast clouds
449,Zelenogorskiy,RU,55.0333,87.0,41.52,86,9,3.2,clear sky
450,Abnub,EG,27.2696,31.1511,84.42,25,74,7.07,broken clouds
451,Yar-Sale,RU,66.8333,70.8333,42.31,74,49,6.71,scattered clouds
452,Tevriz,RU,57.509,72.4042,55.18,83,30,6.04,scattered clouds
453,Lasa,IT,46.6166,10.7002,56.28,91,10,5.66,clear sky
454,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,63.91,45,36,5.84,scattered clouds
455,Ulaangom,MN,49.9811,92.0667,47.95,41,65,2.08,broken clouds
456,Priekule,LV,56.4468,21.5897,45.79,76,3,7.61,clear sky
457,Tazovskiy,RU,67.4667,78.7,38.44,81,99,20.11,moderate rain
458,Puqi,CN,29.7167,113.8833,69.67,86,56,1.61,broken clouds
459,Dubti,ET,11.7361,41.0853,92.37,19,7,6.31,clear sky
460,Rudbar,AF,30.15,62.6,84.58,19,0,7.72,clear sky
461,Riverton,US,40.5219,-111.9391,82.9,21,1,7.0,clear sky
462,Aksha,RU,50.2814,113.2867,47.17,44,41,12.33,scattered clouds
463,Chernyshevskiy,RU,63.0128,112.4714,54.7,74,61,6.26,broken clouds
464,Naters,CH,46.3254,7.9891,58.5,81,69,1.68,broken clouds
465,Amarante Do Maranhao,BR,-5.5667,-46.7422,76.3,64,21,1.59,few clouds
466,Birao,CF,10.2849,22.7882,86.67,27,54,5.17,broken clouds
467,Sakakah,SA,29.9697,40.2064,83.77,18,18,3.18,few clouds
468,Babstovo,RU,48.1167,132.4833,57.87,68,100,7.92,overcast clouds
469,Bathurst,AU,-33.4166,149.5806,48.85,72,0,2.19,clear sky
470,Syzran,RU,53.1585,48.4681,58.71,94,100,2.33,light rain
471,Miles City,US,46.4083,-105.8406,73.51,23,40,12.66,scattered clouds
472,Kaitangata,NZ,-46.2817,169.8464,49.78,95,100,10.67,light rain
473,Ouahigouya,BF,13.5828,-2.4216,98.47,20,75,4.7,broken clouds
474,Henties Bay,NA,-22.116,14.2845,56.86,85,43,6.15,scattered clouds
475,Malinovka,BY,53.8579,27.4374,51.3,89,99,8.1,moderate rain
476,Fort Nelson,CA,58.8053,-122.7002,67.59,24,75,6.91,broken clouds
477,Neuquen,AR,-38.9516,-68.0591,49.89,50,0,8.05,clear sky
478,Say,NE,13.1007,2.3689,95.56,11,10,6.82,clear sky
479,Polson,US,47.6936,-114.1632,69.28,43,19,0.96,few clouds
480,Prudentopolis,BR,-25.2131,-50.9778,61.99,90,56,1.39,broken clouds
481,Laya,PH,17.4726,121.4678,81.79,78,14,2.98,few clouds
482,Kaoma,ZM,-14.7833,24.8,53.29,39,0,5.12,clear sky
483,Broome,US,42.2506,-75.833,51.37,81,90,1.99,overcast clouds
484,Caceres,ES,39.522,-6.3748,72.03,50,32,6.08,scattered clouds
485,Viedma,AR,-40.8135,-62.9967,46.2,44,12,12.41,few clouds
486,Bell Ville,AR,-32.6259,-62.6887,48.79,48,2,1.16,clear sky
487,Saint-Dizier,FR,48.4167,5.0833,53.65,85,54,8.81,broken clouds
488,Mkushi,ZM,-13.6202,29.3939,51.67,53,0,3.31,clear sky
489,Tres Lagoas,BR,-20.7511,-51.6783,78.1,40,86,4.36,overcast clouds
490,Along,IN,28.1667,94.7667,72.39,98,94,1.63,overcast clouds
491,Orgita,EE,58.9218,24.45,44.56,93,7,2.13,clear sky
492,Mountain Home,US,43.133,-115.6912,75.94,8,20,11.23,few clouds
493,Kabanjahe,ID,3.1001,98.4908,65.16,94,86,3.36,overcast clouds
494,Nome,US,64.5011,-165.4064,53.67,27,1,20.71,clear sky
495,Upernavik,GL,72.7868,-56.1549,31.42,93,100,17.52,overcast clouds
496,Pontianak,ID,-0.0333,109.3333,73.38,100,40,3.4,scattered clouds
497,Jilib,SO,0.4883,42.7854,73.24,87,17,5.99,few clouds
498,Kearney,US,40.6995,-99.0815,63.57,67,40,10.36,scattered clouds
499,Jalu,LY,29.0331,21.5482,86.9,21,6,7.9,clear sky
500,Grand-Santi,GF,4.25,-54.3833,73.92,99,96,2.1,light rain
501,Ketchikan,US,55.3422,-131.6461,55.38,60,100,7.05,overcast clouds
502,Tuscaloosa,US,33.2098,-87.5692,70.9,67,75,8.05,broken clouds
503,College,US,64.8569,-147.8028,53.55,41,75,1.01,broken clouds
504,Ubon Ratchathani,TH,15.1667,105.1667,80.49,85,64,5.66,broken clouds
505,Fereydunshahr,IR,32.941,50.121,55.62,26,0,1.66,clear sky
506,Diffa,NE,13.3154,12.6113,88.34,11,61,7.2,broken clouds
507,Camabatela,AO,-8.1881,15.375,62.44,59,43,3.02,scattered clouds
508,San Luis,AR,-33.295,-66.3356,51.51,51,85,3.24,overcast clouds
509,Umred,IN,20.85,79.3333,86.29,44,89,12.37,overcast clouds
510,Huejuquilla El Alto,MX,22.6,-103.8667,89.56,11,47,20.33,scattered clouds
511,Altayskoye,RU,51.9533,85.3325,44.91,79,1,4.36,clear sky
512,Arauca,CO,7.0847,-70.7591,84.2,74,77,4.21,broken clouds
513,Orumiyeh,IR,37.5527,45.0761,63.95,29,0,6.96,clear sky
514,Kuala Lipis,MY,4.1842,102.0468,73.24,99,90,0.2,overcast clouds
515,Franca,BR,-20.5386,-47.4008,68.86,56,98,3.67,overcast clouds
516,Smithers,CA,54.7804,-127.1743,61.12,33,75,8.05,broken clouds
517,Bogatyye Saby,RU,56.0102,50.4483,58.95,95,100,4.14,overcast clouds
518,Grootfontein,NA,-19.5667,18.1167,42.37,75,0,3.44,clear sky
519,Vikhorevka,RU,56.1201,101.1636,33.39,71,77,7.85,broken clouds
520,Kupino,RU,54.3663,77.2981,54.86,52,22,8.39,few clouds
521,Pyaozerskiy,RU,65.8333,31.1667,36.03,64,35,5.19,scattered clouds
522,Santa Adelia,BR,-21.2428,-48.8042,73.53,38,85,5.79,overcast clouds
523,Bara,NG,10.3744,10.7288,87.21,44,100,5.1,overcast clouds
524,Chicago,US,41.85,-87.65,63.79,31,20,5.99,few clouds
525,Leh,IN,34.1667,77.5833,48.36,35,71,2.86,broken clouds
526,Lengshuitan,CN,26.4111,111.5956,70.41,95,100,1.57,light rain
527,Shubarshi,KZ,48.5872,57.1869,67.98,65,28,9.42,scattered clouds
528,Suez,EG,29.9737,32.5263,69.64,69,0,7.56,clear sky
529,Kirkland Lake,CA,48.1446,-80.0377,61.63,18,1,4.05,clear sky
530,Takapau,NZ,-40.0333,176.35,55.18,75,84,1.72,broken clouds
531,Prata,BR,-19.3072,-48.9242,75.65,46,62,0.72,broken clouds
532,Nuuk,GL,64.1835,-51.7216,41.61,81,8,16.11,clear sky
533,Viet Tri,VN,21.3019,105.4308,82.35,89,100,1.45,overcast clouds
534,Sudbury,CA,46.49,-80.99,64.06,28,0,1.99,clear sky
535,Nioro,GM,13.35,-15.75,81.5,43,39,8.03,scattered clouds
